id_llar,pes_llar,membres_llar,tipus_llar,unitats_consum,renda_total,renda_pobresa,risc_pobresa,carencia_material,regim_tinenca,temperatura_adequada,despeses_habitatge,quota_hipotecaria,retards_hipoteca_lloguer,retards_factures,bo_social,afrontar_imprevistos,arribar_final_mes,any_construccio,millores_energetiques,rao_no_millora,no_temperatura_adequada,te_retards,vulnerabilitat_basica
18094,6,3,9.0,2.0,50124.96,50124.96,No,No,Lloguer a preu de mercat,Sí,816.14,,No,No,No,No,Amb certa dificultat,3.0,5.0,,0.0,0,0
18095,6,4,12.0,2.3,20129.5,20129.5,Sí,Sí,Propietat sense hipoteca,No,210.18,,,No,No,No,Amb certa dificultat,4.0,4.0,,1.0,0,1
18096,5,4,14.0,2.5,59530.27,59530.27,No,No,Propietat sense hipoteca,Sí,409.32,,,No,No,Sí,Amb dificultat,3.0,1.0,,0.0,0,0
18097,4,2,7.0,1.5,20320.0,20320.0,No,No,Propietat sense hipoteca,No,365.64,,,No,No,No,Amb certa dificultat,3.0,4.0,2.0,1.0,0,1
18098,6,2,8.0,1.5,46503.4,46503.4,No,No,Propietat sense hipoteca,Sí,268.85,,,No,No,Sí,Amb certa facilitat,3.0,2.0,,0.0,0,0
18099,4,4,12.0,2.3,45255.2,45255.2,No,No,Propietat amb hipoteca,Sí,238.14,680.0,No,No,Sí,Sí,Amb certa dificultat,,5.0,,0.0,0,0
18100,6,2,7.0,1.5,42921.4,42921.4,No,No,Propietat sense hipoteca,Sí,174.05,,,No,No,Sí,Amb facilitat,2.0,1.0,,0.0,0,0
18102,6,2,8.0,1.5,52333.3,52333.3,No,No,Lloguer a preu de mercat,No,833.64,,No,No,No,Sí,Amb facilitat,4.0,4.0,,1.0,0,1
18103,6,3,11.0,1.8,28619.63,28619.63,No,Sí,Lloguer a preu de mercat,Sí,702.03,,No,Sí,Sí,No,Amb dificultat,1.0,4.0,,0.0,1,1
18105,4,5,14.0,2.6,39256.8,39256.8,No,No,Lloguer a preu de mercat,Sí,980.14,,No,No,No,Sí,Amb facilitat,5.0,5.0,,0.0,0,0
18106,4,5,13.0,2.4,86357.0,86357.0,No,No,Propietat amb hipoteca,Sí,1160.27,1300.0,No,No,Sí,Sí,Amb certa dificultat,3.0,5.0,,0.0,0,0
18107,5,5,14.0,2.8,141021.2,141021.2,No,No,Propietat sense hipoteca,Sí,562.84,,,No,Sí,Sí,Amb certa dificultat,,5.0,,0.0,0,0
18108,6,2,7.0,1.5,55677.8,55677.8,No,No,Propietat sense hipoteca,Sí,519.89,,,No,Sí,Sí,Amb certa facilitat,3.0,1.0,,0.0,0,0
18109,5,5,13.0,2.4,56572.97,56572.97,No,No,Propietat amb hipoteca,Sí,653.94,1014.0,No,No,Sí,Sí,Amb facilitat,4.0,3.0,,0.0,0,0
18110,6,3,10.0,1.8,43354.4,43354.4,No,No,Lloguer a preu de mercat,Sí,1280.14,,No,No,No,Sí,Amb certa facilitat,5.0,5.0,,0.0,0,0
18111,6,1,5.0,1.0,14489.0,14489.0,No,No,Propietat sense hipoteca,No,332.51,,,No,No,Sí,Amb dificultat,4.0,4.0,2.0,1.0,0,1
18112,5,4,14.0,2.5,99807.35,99807.35,No,No,Propietat sense hipoteca,Sí,304.2,,,No,No,Sí,Amb certa facilitat,4.0,1.0,,0.0,0,0
